,twitter_link,text,date,likes,comments
0,https://twitter.com/TheRealMarroqui/status/1774804634915201258#m,Photo d'un artisan marocain pendant la construction de la Grande mosquée de Paris @mosqueedeparis. A noter que cet édifice a été construit par des Marocains avec un style 100% Marocain 🇲🇦❤️  #Maroc #المغرب_أولا #Morocco #Paris #France #Ramadan #Zellige #ProtectMoroccanHeritage,"Apr 1, 2024 · 2:22 PM UTC",23,2
1,https://twitter.com/mimi_khouryy/status/1774834785933726102#m,Le plus beau drapeau au monde ♥️  #Morocco #Maroc 🇲🇦 #Ramadan,"Apr 1, 2024 · 4:22 PM UTC",52,5
2,https://twitter.com/MuslimSpot/status/1774849893858783501#m,Stop these gender wars and fear Allah…   #Muslim #MuslimCorner #Islam #Feminism #Redpill #Marriage #Nikkah #Muslimmen #Muslimwomen #Hijab #Hijabi #Palestine #Zionist #Islam #Ummah #India #Pakistan #Arab #Somali #KSA #Morocco #Palestine #Turkey https://ift.tt/YZeN5KD  Subhan…,"Apr 1, 2024 · 5:22 PM UTC",0,0
3,https://twitter.com/MuslimSpot/status/1774849896777957605#m,What is up with Feminism and Redpill in Ramadan!!!   #Muslim #MuslimCorner #Islam #Feminism #Redpill #Marriage #Nikkah #Muslimmen #Muslimwomen #Hijab #Hijabi #Palestine #Zionist #Islam #Ummah #India #Pakistan #Arab #Somali #KSA #Morocco #Palestine #Turkey …,"Apr 1, 2024 · 5:22 PM UTC",0,0
4,https://twitter.com/amnay_atanan/status/1774848913050108111#m,This week photo dump #amazigh #morocco #qatar,"Apr 1, 2024 · 5:18 PM UTC",3,1
5,https://twitter.com/archive_maroc/status/1774832809955188765#m,"Meriem Mezian, la première artiste #marocaine à pratiquer l’art plastique, en train de créer plusieurs peintures en 1950, tout en mettant l’habit traditionnel le #caftan_marocain dans un cadre riche en #détails_marocains #maroc #morocco #femme_marocaine #المغرب #المراة_المغربية","Apr 1, 2024 · 4:14 PM UTC",2,0
6,https://twitter.com/Maghribology/status/1774549478394986930#m,لوحة زيتية رائعة مرسومة بشكل مختلف وبتقنية سابقة لزمانها. عمِل الفنان على محاكاة الواقع برسم نموذج تصويري فريد من نوعه يمزح بين الواقع والتصور لسلطان المغرب بملابسه التقليدية على صحوة جواده الأبيض. عمل تشارلز باسكرفيل، عام_1927. ©جامعة ساوث بلينز. تكساس_أمريكا. #المغرب #Morocco,"Mar 31, 2024 · 9:28 PM UTC",98,2
7,https://twitter.com/nasermoh29/status/1774847441004630095#m,"#Algerian President Launches Vitriolic Attack on 'Cursed' #UAE, Warns Harsh Vengeance   #Gaza #Rafah #Egypt #Algeria #Libya #Sudan #Yemen #Algeria #Morocco #Saudi #Kuwait #Qatar https://rumble.com/v4muwik-algerian-president-launches-vitriolic-attack-on-cursed-uae.html","Apr 1, 2024 · 5:12 PM UTC",1,1
8,https://twitter.com/HajaElHamdaouia/status/1774738920246219243#m,"De leurs proches bouches, sur leurs propres chaînes"" l'algérien est consommateur de la culture d'autrui (=Marocaine)""  Nos premiers fans mais leur adn de ghedar fait qu'ils nous haïssent tout en portant nos tenues (jellaba, burnous, jabador, caftan, tarbouche,..) #Morocco #Maroc","Apr 1, 2024 · 10:01 AM UTC",46,3
9,https://twitter.com/TheRealMarroqui/status/1774734317131862372#m,"L'UNESCO vient de refuser officiellement la demande des Kouloughlis d'Algérie d'inscrire le ""Zellige marocain"" dans la liste du patrimoine mondial de l'@UNESCO ... Un voleur sans histoire restera à jamais un voleur.  #Maroc #المغرب_أولا #Morocco #ProtectMoroccanHeritage #Fes","Apr 1, 2024 · 9:43 AM UTC",418,27
