,twitter_link,text,date,likes,comments
0,https://twitter.com/elonmusk/status/1774234110128468337#m,"At 5000 tons, Starship is the largest flying object ever made. Thrust is more than double the Saturn V moon rocket.  It is the first spaceship design capable of making life multiplanetary.  Goal of the next mission is to make it through the meteorically extreme heat of reentry.","Mar 31, 2024 · 12:35 AM UTC",125588,14045
1,https://twitter.com/elonmusk/status/1774878334058373487#m,😂,"Apr 1, 2024 · 7:15 PM UTC",106748,3746
2,https://twitter.com/elonmusk/status/1774874201976951122#m,"Whoa, this documentary of New York is intense!","Apr 1, 2024 · 6:59 PM UTC",118363,8003
3,https://twitter.com/boringcompany/status/1774847239979925601#m,Congratulations to @swissloop_t for winning the 2024 Not-a-Boring Competition!   Dug to victory with a novel extruded tunnel liner.    Thanks and congrats to all teams who participated. Hope to see you again next year!,"Apr 1, 2024 · 5:12 PM UTC",4349,342
4,https://twitter.com/elonmusk/status/1774871838306226662#m,So many April Fool’s jokes that are actually plausible given the increasingly insane real things happening in the world!,"Apr 1, 2024 · 6:49 PM UTC",147960,8543
5,https://twitter.com/elonmusk/status/1774828819485978799#m,Starlink helps fund humanity getting to Mars,"Apr 1, 2024 · 3:58 PM UTC",36534,4841
6,https://twitter.com/elonmusk/status/1774702734047883410#m,Excited to join @Disney as their Chief DEI Officer.   Can’t wait to work with Bob Iger & Kathleen Kennedy to make their content MORE woke!  Even the linguini.,"Apr 1, 2024 · 7:37 AM UTC",238745,15342
7,https://twitter.com/elonmusk/status/1774699548109115697#m,💯,"Apr 1, 2024 · 7:25 AM UTC",69421,4427
8,https://twitter.com/SERobinsonJr/status/1773906586370494864#m,When you look out the window of the SpaceX Crew Dragon Capsule and see the International Space Station 🤯 🐉  Video by NASA SpaceX Crew 6 member Sultan Al Neyadi.,"Mar 30, 2024 · 2:54 AM UTC",23420,1407
9,https://twitter.com/SpaceX/status/1774312160182894998#m,"~3.5 hours later, Falcon 9 launched 23 @Starlink satellites to low-Earth orbit from pad 40, completing our 260th reflight of an orbital class rocket on the seven-year anniversary of first achieving this feat","Mar 31, 2024 · 5:45 AM UTC",13050,1090
10,https://twitter.com/SpaceX/status/1774248070445973516#m,"Liftoff of Falcon 9, marking 260 reflights of Falcon boosters since our first one seven years ago today!","Mar 31, 2024 · 1:31 AM UTC",17724,1258
11,https://twitter.com/elonmusk/status/1774221739712729341#m,"SpaceX aiming for 3 launches today! One Eutelsat, which just reached orbit, and 2 @Starlink missions.","Mar 30, 2024 · 11:46 PM UTC",103483,7517
12,https://twitter.com/elonmusk/status/1774217917821022654#m,It gets particularly interesting when you trace to source documents,"Mar 30, 2024 · 11:31 PM UTC",7675,1112
